,bldg_Building_gml_id,damage_value_building,damage_value_contents,damage_value_total
0,bldg_783a326a-c33c-41ac-a07d-8106effab7a8,0.0,0.0,0.0
1,bldg_274497bf-937b-4601-8f12-f94593795b85,0.0,0.0,0.0
2,bldg_33aab99d-14f7-423e-ad28-1bbd1ba00827,0.0,0.0,0.0
3,bldg_4e403c2b-de71-4f79-b12f-45457be41efb,0.0,0.0,0.0
4,bldg_eb4b2ae1-e1f3-4d40-a7a6-ffb998909bdf,0.0,0.0,0.0
5,bldg_c3fa5057-8400-4bb4-8a98-a8391c91fc75,0.0,0.0,0.0
6,bldg_bcfd85f8-515b-40ef-b6a7-a91c3716ac17,0.0,0.0,0.0
7,bldg_84cc59b1-df18-405d-869f-b94454f6e6ce,0.0,0.0,0.0
8,bldg_9b7cfb02-b044-4fbe-bc14-723ed12535d3,0.0,0.0,0.0
9,bldg_5ff15400-db1c-4232-a995-c1c01114cf3c,0.0,0.0,0.0
10,bldg_428be628-db71-4c45-8bf3-ef3002c68ce5,0.0,0.0,0.0
11,bldg_b2b13c0a-aa0f-4891-a7fb-7b71883d74c2,0.0,0.0,0.0
12,bldg_6071f478-fe4e-4f8d-a102-4fce5a3e6252,0.0,0.0,0.0
13,bldg_83592ae7-bf24-41c8-bbe3-7c49c72ba61d,0.0,0.0,0.0
14,bldg_14596118-a4ad-4c4d-b0a8-acdbbfe94774,0.0,0.0,0.0
15,bldg_934f08f5-6d4a-438e-82a9-e3994910f575,0.0,0.0,0.0
16,bldg_9f5ffc5c-b4c7-4eb9-86a2-40fda7a4aee0,0.0,0.0,0.0
17,bldg_8267bebe-e3ba-4774-aa86-078bece73bb9,0.0,0.0,0.0
18,bldg_0c0b9acb-99b0-41f0-b730-b86cf35c27e6,0.0,0.0,0.0
19,bldg_fc2279bd-0dec-4e0b-9ae6-afe8bd4a1fcd,0.0,0.0,0.0
20,bldg_919f736f-fbc7-4e80-8bb9-4bb27cef9d9e,0.0,0.0,0.0
21,bldg_c3bdcb02-d1f9-40c7-896c-dad1e30760ef,0.0,0.0,0.0
22,bldg_4c4357b1-3e08-466c-a7f9-068bf56d7358,0.0,0.0,0.0
23,bldg_736d4b15-dc34-42ce-b590-fcf7f73d8f80,0.0,0.0,0.0
24,bldg_a7f15990-58d5-4e0b-8b78-5fd6362257df,0.0,0.0,0.0
25,bldg_a487e171-d10d-4f2f-b996-04734445d921,0.0,0.0,0.0
26,bldg_f8170bb3-4409-4c33-86d2-a29bbdde21f8,0.0,0.0,0.0
27,bldg_7959c074-266d-4288-bb17-29c2553c73a2,0.0,0.0,0.0
28,bldg_b8dbf979-1954-4170-8e45-35256ca28254,0.0,0.0,0.0
29,bldg_1d52b819-2cd5-4e13-9f15-5ad716c1d51c,0.0,0.0,0.0
30,bldg_ca70ee8e-ec74-4d37-9a6f-736d011408a7,0.0,0.0,0.0
31,bldg_6b7ed924-ebea-4f57-beb4-bfe3a5bc3cc9,0.0,0.0,0.0
32,bldg_1e339976-6823-43b2-b166-314e537514c2,0.0,0.0,0.0
33,bldg_10b74d65-6b2f-4350-b339-41b05c2cb8f3,0.0,0.0,0.0
34,bldg_9b779c4d-b024-4751-bba4-675dbdf98402,0.0,0.0,0.0
35,bldg_c199cb1f-32af-4412-b499-4e9146347c9f,0.0,0.0,0.0
36,bldg_e32ee54c-7d8e-4c7c-bcaf-16adbdd90164,0.0,0.0,0.0
37,bldg_5db462b9-7695-4524-8fe7-6245ded141ab,0.0,0.0,0.0
38,bldg_42715fe5-d169-4099-9068-2f911ab3eb99,0.0,0.0,0.0
39,bldg_29c7ee2e-3998-4a63-88d8-c12a13226649,0.0,0.0,0.0
40,bldg_e6435fad-4063-405c-b2e9-75b4bbaecab3,0.0,0.0,0.0
41,bldg_2fc192c7-99c7-47f6-a6cd-b0c167ef3441,0.0,0.0,0.0
42,bldg_4adf206c-81f1-4d60-afab-fc72b25d18eb,0.0,0.0,0.0
43,bldg_3768513d-0b5b-4c37-adbe-c4faa9d25224,0.0,0.0,0.0
44,bldg_e721dd62-03bb-4ed2-ac06-befe87be464f,0.0,0.0,0.0
45,bldg_1ae626ba-8744-4b27-9e1a-8b2c6caf64dd,0.0,0.0,0.0
46,bldg_6ffc234f-440b-4db3-9f10-f84484f97f3e,0.0,0.0,0.0
47,bldg_c904de0b-45b3-4eee-b2bf-6747ca2d635d,0.0,0.0,0.0
48,bldg_757c6b0b-a550-456f-a69c-63c5bb137d3a,0.0,0.0,0.0
49,bldg_295f870c-6003-4281-8ad8-f018f7db3482,0.0,0.0,0.0
50,bldg_fb87250d-022d-4966-b2d0-d53aca255be7,0.0,0.0,0.0
51,bldg_6b4ce482-6322-422c-9a0b-857b94be150d,0.0,0.0,0.0
52,bldg_d8370a3b-f31b-43e4-840c-e5cdbe8a9675,0.0,0.0,0.0
53,bldg_e1c4b819-6189-45e9-947e-4c07a2b956fe,0.0,0.0,0.0
54,bldg_b897a31a-e2f6-44f3-8b38-57e03b352649,0.0,0.0,0.0
55,bldg_d3969cad-99a4-464f-888e-28f7d9f38dfd,0.0,0.0,0.0
56,bldg_7637452a-6d06-49a4-a293-6a6a57f03351,0.0,0.0,0.0
57,bldg_8e8e99e3-9663-420a-96dc-c1b5588a2021,0.0,0.0,0.0
58,bldg_caa4b060-f925-42c5-a5f6-caefdf8f4c92,0.0,0.0,0.0
59,bldg_8fc83f3c-5729-42ee-9e47-d2d85e3fe88c,0.0,0.0,0.0
60,bldg_868eef2b-4f38-48ef-894e-690f556066b0,0.0,0.0,0.0
61,bldg_75d0ac48-8967-45fc-a6f0-9a38365a2183,0.0,0.0,0.0
62,bldg_2a4f7a20-b94d-45f5-81bb-620e9bc9523f,0.0,0.0,0.0
63,bldg_68abbb62-7c8f-461f-b909-0b166cac5521,0.0,0.0,0.0
64,bldg_46bcc273-749e-42e8-a95f-7cec508d7a49,0.0,0.0,0.0
65,bldg_a1c3a618-5571-4239-9c24-530cc2a80af9,0.0,0.0,0.0
66,bldg_fae3e9c1-199b-49b2-9ca7-7c90ea6a3961,0.0,0.0,0.0
67,bldg_836c1963-d6d5-4954-97a2-cdc760c496f1,0.0,0.0,0.0
68,bldg_84950635-ceeb-4adb-9c6f-8b7b1c3a4e83,0.0,0.0,0.0
69,bldg_254edb15-ec5e-472f-9e29-7ea65b1361f5,0.0,0.0,0.0
70,bldg_a97c87c0-6954-41bd-b34c-3be29bcda3e4,0.0,0.0,0.0
71,bldg_5f2bb8b3-ded1-48e7-8754-5f760fb1dfb8,0.0,0.0,0.0
72,bldg_14fe7437-d607-4094-8303-d5ef85813246,0.0,0.0,0.0
73,bldg_aa5ef201-25b1-4048-91c1-c777fadd8cfd,0.0,0.0,0.0
74,bldg_1860e96c-fe1b-4893-b490-ee10972711ff,0.0,0.0,0.0
75,bldg_05a9cf08-2b59-4848-bd9b-dcccf5350e60,0.0,0.0,0.0
76,bldg_fc98f9d7-23cd-4a09-9a31-85d115d5c560,0.0,0.0,0.0
77,bldg_288e121d-273b-453a-9351-31df6a574e32,0.0,0.0,0.0
78,bldg_e885263d-032f-4419-a5ac-f00aac1021c8,0.0,0.0,0.0
79,bldg_a770f3e9-f6a0-45a9-9e78-d34c6e9ba248,0.0,0.0,0.0
80,bldg_36b8d5e2-99e9-4f37-8baa-b3b5afd9d123,0.0,0.0,0.0
81,bldg_d7db5612-4caa-42c9-b6ff-f68e9e23f62c,0.0,0.0,0.0
82,bldg_bd1f1c65-98e8-4d5d-a59e-6cfb745e7087,0.0,0.0,0.0
83,bldg_6da8b251-058a-418f-a360-00c81b8fa8b9,0.0,0.0,0.0
84,bldg_b795c7a4-4e58-4031-ab17-b2c04e585e23,0.0,0.0,0.0
85,bldg_c0e05f87-c8af-4030-8282-ce9ffd1d3bc0,0.0,0.0,0.0
86,bldg_99e56658-5d45-4d6a-a44e-fd739a987f98,0.0,0.0,0.0
87,bldg_82f8d9e0-a635-4083-a165-8261f33f2abd,0.0,0.0,0.0
88,bldg_486bfa1f-d46c-44c2-9603-b6a695a9e6e3,0.0,0.0,0.0
89,bldg_eb9fb8be-c806-4dcd-b9c2-1b1e0062c03e,0.0,0.0,0.0
90,bldg_42265d19-cd91-4836-87d9-cd06dee785d7,0.0,0.0,0.0
91,bldg_df871ae5-a532-4a4b-a7a8-0a0f3e17992a,0.0,0.0,0.0
92,bldg_13a0eaef-9ff3-4db1-8e6f-e6edad04a705,0.0,0.0,0.0
93,bldg_153323c0-fe90-4584-83b7-629d56bc4d13,0.0,0.0,0.0
94,bldg_c2c782b6-97a4-46f6-856b-80c34dfff399,0.0,0.0,0.0
95,bldg_6303d2b9-e6c4-4f62-a06c-61a4aa47b420,0.0,0.0,0.0
96,bldg_e15dbcf1-07d4-471f-96b8-1bb7f4249379,0.0,0.0,0.0
97,bldg_317e7977-a2c4-4c68-8a7e-b632ade01690,0.0,0.0,0.0
98,bldg_e0282006-ff68-4921-9826-13bec3fc53d9,0.0,0.0,0.0
99,bldg_0cd99ea7-7dd7-4730-b66a-55723e4c04a0,0.0,0.0,0.0
100,bldg_3c857f98-d929-49ee-b076-705de4066225,0.0,0.0,0.0
101,bldg_dffb7ed5-c61b-45d9-bdae-7a6411e69d43,0.0,0.0,0.0
102,bldg_f30a613f-000c-4ba5-a91d-6a56f31fd371,0.0,0.0,0.0
103,bldg_a1c2faa8-e78d-47af-bee4-538c0f4a0ece,0.0,0.0,0.0
104,bldg_1a0a6897-c6e0-4eb7-9a63-9b33e10801e8,0.0,0.0,0.0
105,bldg_fc354f1a-1bf8-4348-8f63-94d433741262,0.0,0.0,0.0
106,bldg_0a299978-52bc-4064-8388-de377cb178ae,0.0,0.0,0.0
107,bldg_02c4f57b-9c35-4d57-8c3c-fb2aa444e5e5,0.0,0.0,0.0
108,bldg_89348710-e4df-486e-9384-98431391312f,0.0,0.0,0.0
109,bldg_0b7ca919-0944-4fcc-8bf2-ce333c29c5e0,0.0,0.0,0.0
110,bldg_5286f223-440f-44a2-bbb3-25e9d1135381,0.0,0.0,0.0
111,bldg_b419f5f6-898d-491e-ae0f-3f45ffb0bc7e,0.0,0.0,0.0
112,bldg_9b1ef10f-b0e7-4318-8aa3-761aa7a9eaaf,0.0,0.0,0.0
113,bldg_78f075da-9acc-4ee9-98e0-7553cb7c14b9,0.0,0.0,0.0
114,bldg_51f1b0bc-0f01-4a8f-9261-bfa9f9ea285e,0.0,0.0,0.0
115,bldg_38d80b95-04be-4985-8b53-9560e4ec5330,0.0,0.0,0.0
116,bldg_86bca6b3-1518-49e7-b56e-49e34adbda5c,0.0,0.0,0.0
117,bldg_1b0b7ecd-7e91-468d-8480-c986ead6bb8e,0.0,0.0,0.0
118,bldg_45490bea-defd-405a-b57b-06a6cba579ca,0.0,0.0,0.0
119,bldg_c50cd3e8-490a-4ca5-ad83-a92e710aeade,0.0,0.0,0.0
120,bldg_e0b97fba-d5fd-49fd-89df-13b6cd39a871,0.0,0.0,0.0
121,bldg_a8f83f05-29ac-449b-b38e-d8b9cfc252c5,0.0,0.0,0.0
122,bldg_2e9f6dfa-229e-4d15-9db8-05e93b3acbf2,0.0,0.0,0.0
123,bldg_b6b9b0fd-be60-4006-a18a-9c45df274838,0.0,0.0,0.0
124,bldg_84a6dde5-9c9f-4430-8a11-c546a6463701,0.0,0.0,0.0
125,bldg_4c3e95b3-4f96-4ce7-a03b-f9574ee5328c,0.0,0.0,0.0
126,bldg_5fa2f029-0637-486d-97dd-00f0b0b46336,0.0,0.0,0.0
127,bldg_95abe9d7-3df2-4f6e-9561-1d7bdd14181a,0.0,0.0,0.0
128,bldg_857dbb38-d088-452f-be9b-c094427f00ac,0.0,0.0,0.0
129,bldg_b7e6a2fb-7090-46ac-a7a5-4e1179363a4d,0.0,0.0,0.0
130,bldg_c449ea0e-4eeb-480c-af4b-c5a8972153d2,0.0,0.0,0.0
131,bldg_04a6b1fe-daa0-455f-a0c1-50abd3dcef8a,0.0,0.0,0.0
132,bldg_d36c4ce0-68e2-4bc7-ab76-71088f878a73,0.0,0.0,0.0
133,bldg_1efe0c35-5bf2-4b8f-8bbf-34b8cb29c572,0.0,0.0,0.0
134,bldg_0185d708-3313-46e5-b8e2-36401f82ced3,0.0,0.0,0.0
135,bldg_5b2ffd3b-8c62-4d61-b32e-f4cb252f8c55,0.0,0.0,0.0
136,bldg_03b1ec46-e6b7-4cde-b89c-252fa21481b8,0.0,0.0,0.0
137,bldg_519cfa1c-a35c-4f07-a1af-a8d34af4a995,0.0,0.0,0.0
138,bldg_62e24f2c-dd9f-45da-b15e-5f676a513403,0.0,0.0,0.0
139,bldg_9df69d10-0965-4b45-b95e-ab682706e893,0.0,0.0,0.0
140,bldg_76eb95fa-90fe-4d16-af2c-f56143580b14,0.0,0.0,0.0
141,bldg_35c3b431-6f67-41e6-a27f-9e7c628cacc1,0.0,0.0,0.0
142,bldg_a6a5026e-26c2-4af6-82df-99ab478e8837,0.0,0.0,0.0
143,bldg_acaefb6f-308e-449b-9f9d-5153743bb00b,0.0,0.0,0.0
144,bldg_89cb0461-4bae-4b92-986c-e3fe911f0f4a,0.0,0.0,0.0
145,bldg_c51719f0-d1e4-489d-8606-fe5471421b16,0.0,0.0,0.0
146,bldg_8fa44412-2f00-4f2c-9abf-0e251e1ab798,0.0,0.0,0.0
147,bldg_982b8daa-f09f-4e44-965f-f1d5dc49bcdc,0.0,0.0,0.0
148,bldg_6aed8b3c-ad72-453e-a68f-73747e77fbe3,0.0,0.0,0.0
149,bldg_830416ff-e935-418d-8ca3-f8f9101607da,0.0,0.0,0.0
150,bldg_0ac7e7ab-021c-47a8-90e2-b151ec144b63,0.0,0.0,0.0
151,bldg_cac36817-eab3-4a7c-bec0-80c4fbb8b15a,0.0,0.0,0.0
152,bldg_53d0ddb2-10b4-4984-9c79-9b0f13d7da88,0.0,0.0,0.0
153,bldg_beb53395-d684-4d8b-8d18-744b3b6f8b9f,0.0,0.0,0.0
154,bldg_85a00529-acda-48d1-a464-f6295475ccba,0.0,0.0,0.0
155,bldg_0f8f6fe1-fdbc-4914-99ea-876ff959ee21,0.0,0.0,0.0
156,bldg_eaeea370-d5d4-460e-a5b4-5c59fd32089f,0.0,0.0,0.0
157,bldg_da98e645-a635-43fe-87a8-bdf48fe03c6a,0.0,0.0,0.0
158,bldg_d4280ada-d5c8-406b-a669-9fca43f51e74,0.0,0.0,0.0
159,bldg_75ab64be-2ec6-434c-9daa-885225eed424,0.0,0.0,0.0
160,bldg_4e64815c-52de-4d30-9846-c39ee22a48ba,0.0,0.0,0.0
161,bldg_fcb9d90c-5d60-4142-a885-881aacf09c39,0.0,0.0,0.0
162,bldg_6834fc8b-ebe9-4ca9-97f4-5db4c46c8b59,0.0,0.0,0.0
163,bldg_9b08c92b-93d3-4750-910d-9d32c804102f,0.0,0.0,0.0
164,bldg_f96bb1b1-e528-42f5-b130-ce0b0a1d4548,0.0,0.0,0.0
165,bldg_c6f1a1c3-43e7-4dd0-99e8-24fd721ebcbc,0.0,0.0,0.0
166,bldg_e278a40b-c9a6-4482-8b99-19c85a67f1e6,0.0,0.0,0.0
167,bldg_fbc28932-d13c-4a20-ac97-fea6a064e8eb,0.0,0.0,0.0
168,bldg_382e1d88-2bfa-4327-aff4-cedfb9d57f8c,0.0,0.0,0.0
169,bldg_df356231-a7fa-4f5b-ad91-a59a90e66fe1,0.0,0.0,0.0
170,bldg_00865887-705a-4d9c-ae0b-eedc0ab5dd6e,0.0,0.0,0.0
171,bldg_64fb5ff4-1309-4ec3-be3d-a1dd5bad9af6,0.0,0.0,0.0
172,bldg_d23fa293-2605-4595-ba1a-74c1eada3e29,0.0,0.0,0.0
173,bldg_99b83183-5d3b-4060-8e24-b287eaef6b91,0.0,0.0,0.0
174,bldg_34806904-06fa-4f9d-affc-658ceee70eb1,0.0,0.0,0.0
175,bldg_cdc058a3-2e3c-4168-af1d-06061bd2a79f,0.0,0.0,0.0
176,bldg_53e73715-59e6-4245-a8d7-2e95afe84012,0.0,0.0,0.0
177,bldg_ed01881d-310e-4457-926a-5c9a61a08737,0.0,0.0,0.0
178,bldg_a34d2806-271a-404b-8540-8864182dadc3,0.0,0.0,0.0
179,bldg_2352bccf-ec72-4251-8a1a-8e07f53dd8c6,0.0,0.0,0.0
180,bldg_ee4c905a-6cde-404f-92a0-5ed6bcd59af4,0.0,0.0,0.0
