,bldg_Building_gml_id,value_building_per_sqare_meter,value_indoor_movable_property,floor_height,value_building,value_building_Above,value_building_Below,value_contents_Above,value_contents_Below,value_contents
0,bldg_783a326a-c33c-41ac-a07d-8106effab7a8,20000,0,3.189799999992829,4593416.00028,0.0,0.0,0.0,0.0,0.0
1,bldg_274497bf-937b-4601-8f12-f94593795b85,20000,0,3.811200000011013,5763388.99876,0.0,0.0,0.0,0.0,0.0
2,bldg_33aab99d-14f7-423e-ad28-1bbd1ba00827,20000,0,2.665899999992689,427756.000116,0.0,0.0,0.0,0.0,0.0
3,bldg_4e403c2b-de71-4f79-b12f-45457be41efb,20000,0,3.0718999999953667,1150835.999984,0.0,0.0,0.0,0.0,0.0
4,bldg_eb4b2ae1-e1f3-4d40-a7a6-ffb998909bdf,20000,0,3.0,85075.9999872,0.0,0.0,0.0,0.0,0.0
5,bldg_c3fa5057-8400-4bb4-8a98-a8391c91fc75,20000,0,4.321599999995669,2253194.9998,0.0,0.0,0.0,0.0,0.0
6,bldg_bcfd85f8-515b-40ef-b6a7-a91c3716ac17,20000,0,2.6270999999978812,683918.9997139999,0.0,0.0,0.0,0.0,0.0
7,bldg_84cc59b1-df18-405d-869f-b94454f6e6ce,20000,0,2.459900000001653,6940717.450518306,0.0,0.0,0.0,0.0,0.0
8,bldg_9b7cfb02-b044-4fbe-bc14-723ed12535d3,20000,0,2.563300000008894,277230.000062,0.0,0.0,0.0,0.0,0.0
9,bldg_5ff15400-db1c-4232-a995-c1c01114cf3c,20000,0,3.71469999999681,879336.0000440001,0.0,0.0,0.0,0.0,0.0
10,bldg_428be628-db71-4c45-8bf3-ef3002c68ce5,20000,0,3.0,327814.99988599995,0.0,0.0,0.0,0.0,0.0
11,bldg_b2b13c0a-aa0f-4891-a7fb-7b71883d74c2,20000,0,1.6653499999956694,6977359.9974,0.0,0.0,0.0,0.0,0.0
12,bldg_6071f478-fe4e-4f8d-a102-4fce5a3e6252,20000,0,2.697199999995064,1516588.000042,0.0,0.0,0.0,0.0,0.0
13,bldg_83592ae7-bf24-41c8-bbe3-7c49c72ba61d,20000,0,1.8951500000039232,7190241.9994,0.0,0.0,0.0,0.0,0.0
14,bldg_14596118-a4ad-4c4d-b0a8-acdbbfe94774,20000,0,3.3307999999960884,1730226.2233706035,0.0,0.0,0.0,0.0,0.0
15,bldg_934f08f5-6d4a-438e-82a9-e3994910f575,20000,0,3.610000000000582,2463216.2404144565,0.0,0.0,0.0,0.0,0.0
16,bldg_9f5ffc5c-b4c7-4eb9-86a2-40fda7a4aee0,20000,0,2.135999999998603,3137408.00022,0.0,0.0,0.0,0.0,0.0
17,bldg_8267bebe-e3ba-4774-aa86-078bece73bb9,20000,0,1.4772000000011758,5980340.0004,0.0,0.0,0.0,0.0,0.0
18,bldg_0c0b9acb-99b0-41f0-b730-b86cf35c27e6,20000,0,6.963400000007823,2872660.00002,0.0,0.0,0.0,0.0,0.0
19,bldg_fc2279bd-0dec-4e0b-9ae6-afe8bd4a1fcd,20000,0,1.5882500000006985,1737157.999952,0.0,0.0,0.0,0.0,0.0
20,bldg_919f736f-fbc7-4e80-8bb9-4bb27cef9d9e,20000,0,2.8598999999958323,588126.1874199804,0.0,0.0,0.0,0.0,0.0
21,bldg_c3bdcb02-d1f9-40c7-896c-dad1e30760ef,20000,0,3.0112999999983003,1552179.0000460001,0.0,0.0,0.0,0.0,0.0
22,bldg_4c4357b1-3e08-466c-a7f9-068bf56d7358,20000,0,2.9263999999966472,545721.4381959231,0.0,0.0,0.0,0.0,0.0
23,bldg_736d4b15-dc34-42ce-b590-fcf7f73d8f80,20000,0,3.410200000012992,645190.999858,0.0,0.0,0.0,0.0,0.0
24,bldg_a7f15990-58d5-4e0b-8b78-5fd6362257df,20000,0,1.7727500000037253,20186056.001199998,0.0,0.0,0.0,0.0,0.0
25,bldg_a487e171-d10d-4f2f-b996-04734445d921,20000,0,2.404599999994389,457524.95746251184,0.0,0.0,0.0,0.0,0.0
26,bldg_f8170bb3-4409-4c33-86d2-a29bbdde21f8,20000,0,3.168599999989965,320157.999858,0.0,0.0,0.0,0.0,0.0
27,bldg_7959c074-266d-4288-bb17-29c2553c73a2,20000,0,6.54419999998936,2124850.99988,0.0,0.0,0.0,0.0,0.0
28,bldg_b8dbf979-1954-4170-8e45-35256ca28254,20000,0,2.7355999999999767,1976714.00006,0.0,0.0,0.0,0.0,0.0
29,bldg_1d52b819-2cd5-4e13-9f15-5ad716c1d51c,20000,0,3.3443499999993946,3995605.4612673246,0.0,0.0,0.0,0.0,0.0
30,bldg_ca70ee8e-ec74-4d37-9a6f-736d011408a7,20000,0,2.7160000000003492,3382424.0003199996,0.0,0.0,0.0,0.0,0.0
31,bldg_6b7ed924-ebea-4f57-beb4-bfe3a5bc3cc9,20000,0,2.281699999999546,3753539.99966,0.0,0.0,0.0,0.0,0.0
32,bldg_1e339976-6823-43b2-b166-314e537514c2,20000,0,2.642200000002049,850924.0000379999,0.0,0.0,0.0,0.0,0.0
33,bldg_10b74d65-6b2f-4350-b339-41b05c2cb8f3,20000,0,3.186199999996461,2625123.9993600002,0.0,0.0,0.0,0.0,0.0
34,bldg_9b779c4d-b024-4751-bba4-675dbdf98402,20000,0,3.0,1499556.1764358296,0.0,0.0,0.0,0.0,0.0
35,bldg_c199cb1f-32af-4412-b499-4e9146347c9f,20000,0,3.049299999998766,973603.000068,0.0,0.0,0.0,0.0,0.0
36,bldg_e32ee54c-7d8e-4c7c-bcaf-16adbdd90164,20000,0,2.6199999999953434,661663.000038,0.0,0.0,0.0,0.0,0.0
37,bldg_5db462b9-7695-4524-8fe7-6245ded141ab,20000,0,2.8544999999867287,776332.5112100419,0.0,0.0,0.0,0.0,0.0
38,bldg_42715fe5-d169-4099-9068-2f911ab3eb99,20000,0,3.7075999999942724,2663011.99958,0.0,0.0,0.0,0.0,0.0
39,bldg_29c7ee2e-3998-4a63-88d8-c12a13226649,20000,0,3.0,330699.1422366218,0.0,0.0,0.0,0.0,0.0
40,bldg_e6435fad-4063-405c-b2e9-75b4bbaecab3,20000,0,3.559900000007474,6904540.19721907,0.0,0.0,0.0,0.0,0.0
41,bldg_2fc192c7-99c7-47f6-a6cd-b0c167ef3441,20000,0,3.5939000000071246,2869455.00054,0.0,0.0,0.0,0.0,0.0
